sqrtN_dJ_N32,sqrtN_dJ_N64,sqrtN_dJ_N128
7.263391976196661819e-04,-1.300662938343008501e-03,-2.118688642661977536e-03
-6.621982508237148762e-03,1.873072309323223217e-03,3.357988170806123704e-03
-1.966426782122514608e-03,1.937021995773779981e-03,3.113192160858566353e-03
-1.723009418063148075e-03,-5.821395162259407341e-03,-1.279753524400656156e-03
-4.277154929975686762e-03,-6.856546012970476944e-05,-3.936356151979457027e-03
4.957244287224043785e-04,-2.289609650495558202e-03,2.753745587998137094e-04
-3.850946064696082749e-03,-5.656455628013229431e-04,-1.904104869658392171e-03
-5.267680345995162487e-03,1.118201667307611169e-03,2.858590568499439193e-03
-4.925278191498875515e-04,-2.946998536000472457e-03,-4.199831042348716771e-03
-3.518799873967991699e-03,-8.137503497275551390e-03,5.628727854832565229e-04
-3.372568586910635376e-03,2.313220619238748332e-04,-8.763557104579942957e-04
-4.106642923364493131e-03,-1.806416708387312275e-03,1.013119744744289447e-04
-1.403097667203231317e-03,-1.714948521797987624e-03,-3.061975640037576957e-03
1.155146063517341684e-03,-1.389557192912282968e-03,-3.316632325268479599e-03
-1.003571007469785618e-03,-5.101117686393749628e-03,2.065964298164006839e-05
-1.563122997308704167e-04,-7.399626808928617960e-03,3.365159820212802137e-03
-4.185284288040476072e-03,4.498181147733620877e-04,-2.997786867052791224e-03
-7.183833299693229797e-04,-4.567440744892278803e-03,-1.715766210206042322e-03
-7.474723768056835971e-03,-2.356184344325357172e-03,-6.493993230313619075e-05
2.147590732452057342e-03,4.075401490627045265e-04,-1.105400447323719821e-03
-2.876603484816716867e-03,-1.545288850968010164e-03,5.686548545989551133e-04
-2.349552187584241520e-03,3.058991217256279427e-04,-2.230369444511583199e-03
6.253824341162161297e-04,-1.086042060333920756e-02,-1.779304169992882616e-03
-5.030586982061639560e-03,-2.844443151614153842e-03,3.511551345993613443e-03
-8.959167455790743558e-04,-1.498990258957236255e-03,8.564521976054713251e-04
-2.641136994925027438e-03,-4.103172597500759355e-04,-4.486618902837590656e-03
-3.787069041081252661e-03,-1.778436236156241690e-03,-1.420527874029999839e-03
-2.566121965283657677e-04,-2.288529612771150745e-03,2.360338125388877252e-03
-3.556478573302816314e-03,1.146790520732465790e-03,-2.730612791341916357e-03
4.230714567619912013e-04,-3.674753580487494231e-04,9.891085727370323242e-04
-3.859589098939159024e-03,-5.772393778439743883e-03,3.592141403819651413e-03
-4.643615946585955695e-03,6.131232704604527850e-04,-8.241989488955600530e-04
-5.333563442961891681e-05,-4.653634755286711888e-03,-2.094766767603954867e-03
-2.422534565686857658e-03,-2.377106387656313657e-03,2.002671066568193371e-03
2.920343884048675568e-04,-5.594137341876220804e-04,-1.077077791252268419e-03
